algorithm,grid,scenario,training_seed,agents,total_steps,episodes_completed,training_runtime_s,peak_process_tree_ram_mb,model_size_total_mb,buffer_type,buffer_total_mb,training_device,status,summary_file
dqn,2x2,low,1,4,50000,138,361.10647012491245,343.75,0.3686408996582031,replay_buffer,12.969970703125,,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid2x2/dqn/low/training_summary.csv
ppo,2x2,low,1,4,50000,138,374.9196406669216,332.28125,0.53125,rollout_buffer,0.02734375,cpu,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid2x2/ppo/low/training_summary.csv
dqn,2x2,medium,1,4,50000,138,357.23815779201686,343.296875,0.3686408996582031,replay_buffer,12.969970703125,,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid2x2/dqn/medium/training_summary.csv
ppo,2x2,medium,1,4,50000,138,388.0460723750293,335.0625,0.53125,rollout_buffer,0.02734375,cpu,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid2x2/ppo/medium/training_summary.csv
dqn,2x2,high,1,4,50000,138,624.4831571249524,354.03125,0.3686408996582031,replay_buffer,12.969970703125,,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid2x2/dqn/high/training_summary.csv
ppo,2x2,high,1,4,50000,138,658.3774673331063,347.9375,0.53125,rollout_buffer,0.02734375,cpu,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid2x2/ppo/high/training_summary.csv
dqn,2x2,dynamic,1,4,50000,138,370.9653123340104,340.703125,0.3686408996582031,replay_buffer,12.969970703125,,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid2x2/dqn/dynamic/training_summary.csv
ppo,2x2,dynamic,1,4,50000,138,389.1965708329808,331.609375,0.53125,rollout_buffer,0.02734375,cpu,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid2x2/ppo/dynamic/training_summary.csv
dqn,3x3,medium,1,9,50000,138,692.9314370419597,357.9375,0.829442024230957,replay_buffer,29.18243408203125,,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid3x3/dqn/medium/training_summary.csv
ppo,3x3,medium,1,9,50000,138,731.5404254159657,334.734375,1.1953125,rollout_buffer,0.0615234375,cpu,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid3x3/ppo/medium/training_summary.csv
dqn,4x4,medium,1,16,50000,138,1046.1361602919642,388.5625,1.4745635986328125,replay_buffer,51.8798828125,,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid4x4/dqn/medium/training_summary.csv
ppo,4x4,medium,1,16,50000,138,1018.6984714579303,339.75,2.125,rollout_buffer,0.109375,cpu,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid4x4/ppo/medium/training_summary.csv
dqn,5x5,medium,1,25,50000,138,1398.060564290965,422.65625,2.3040056228637695,replay_buffer,81.06231689453125,,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid5x5/dqn/medium/training_summary.csv
ppo,5x5,medium,1,25,50000,138,1469.6958416670095,343.265625,3.3203125,rollout_buffer,0.1708984375,cpu,PASS,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/training/grid5x5/ppo/medium/training_summary.csv
